Ses01F_impro01_F000,EXCUSE ME,EXCUSE,EXCUSE ME OH,EXCUSE ME AND,OH EXCUSE ME,BUT EXCUSE ME,EXCUSE ME SIR,EXCUSE ME BUT,EXCUSE ME NOW,AND EXCUSE ME
Ses03F_impro02_F041,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS YOU JUST DON'T PLAN FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS YOU JUST DON'T PLANNED FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS HE JUST DON'T PLAN FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS HE JUST DON'T PLANNED FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS I JUST DON'T PLANNED FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN AND I NEVER PLANNED FOR THIS SOME THINGS YOU JUST DON'T PLAN FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS WE JUST DON'T PLANNED FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS I JUST DON'T PLAN FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR THIS SOME THINGS YOU DON'T PLAN FOR YOU KNOW,I DIDN'T EXPECT THIS TO HAPPEN I NEVER PLANNED FOR SOME THINGS YOU JUST DON'T PLAN FOR YOU KNOW
Ses03F_impro02_F042,SIGHED HIM,SIMON,SIDE,SIGHED THEM,SIDE THEM,SIGN THEM,SAID EM,SAW HIM,BESIDE HIM,SAID HIM
Ses03F_impro02_F043,I'M SO SORRY,I AM SO SORRY,I'M SORRY,I'M VERY SORRY,I'M NOT SORRY,I'M STILL SORRY,I I'M SO SORRY,IM SO SORRY,OH I'M SO SORRY,BUT I'M SO SORRY
Ses03F_impro02_M000,ALL RIGHT,I READ,I WRITE,I RIGHT,RIGHT,ALL READY,ALL READ,ARE RIGHT,ALL RED,OUR RIGHT
Ses03F_impro02_M001,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU TAKE IT WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU SEE WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEPS SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU SEE WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU SAY WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU TAKE IT MUCH,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEPS SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU TAKE IT WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU SAY IT WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU SEEK IT MUCH,SHE'S DOING FINE SHE JUST TOOK A FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU TAKE IT WHAT'S IT,SHE'S DOING FINE SHE JUST TOOK HER FIRST STEP SAID I ACTUALLY I BUT YOU'LL TAKE IT FOR YOU TAKE IT MUCH OF IT
Ses03F_impro02_M007,I DIDN'T KNOW I CAN'T DO THIS ALONE,I DUNNO I CAN'T DO THIS ALONE,I DON'T KNOW I CAN'T DO THIS ALONE,I DUNNO I CAN'T DO THE SALOON,I DIDN'T KNOW I COULDN'T DO THIS ALONE,I DON'T KNOW I CAN'T DO THE SALOON,I DIDN'T KNOW I CAN'T DO THE SALOON,I DIDN'T KNOW I CAIN'T DO THIS ALONE,I DIDN'T KNOW I CAN'T DO THIS LOAN,I DIDN'T KNOW I CAN'T DO THIS ALL ALONE
Ses03F_impro02_M014,I HAVE TO WORRY CAN I WORK,I HAVE TO WORRY AGAIN,I HAVE TO WORRY AND WORK,I HAVE TO WORRY AND I WORK,I HAVE TO WORRY WHEN I WORK,I HAVE TO WORRY AN HOUR,I HAVE TO WORK AND I WORK,I HAVE T WORRY CAN I WORK,I HAVE TO WORRY AND I WILL,I HAVE TO WORRY AGAIN I WORK
Ses03F_impro02_M016,YOU CAN'T LEAVE YOUR DAUGHTER ALONE LIKE THIS,YOU CAN'T LEAVE YOUR DAUGHTER ALONE WITH THIS,YOU CAN'T LEAVE YOUR DAUGHTER ALONE,YOU CAN'T LEAVE YOUR DAUGHTER ALONE WITH US,YOU CAN'T LEAVE YOUR DAUGHTER ALONE LIKE THAT,YOU CAN'T LEAVE YOUR DAUGHTER ALONE WITH THEM,YOU CAN'T LEAVE YOUR DAUGHTER ALONE WITH ME,I CAN'T LEAVE YOUR DAUGHTER ALONE LIKE THIS,YOU CAN'T LEAVE YOUR DAUGHTER ALONE WITH IT,WE CAN'T LEAVE YOUR DAUGHTER ALONE LIKE THIS
Ses03F_impro02_M017,HE CAN'T POSTPONE IT,HE CAME POSTPONED IT,AND CAMP POSTPONED IT,IN CAMP POSTPONED IT,AND CAN'T POSTPONE IT,THE CAMP POSTPONED IT,HE CAN'T POSTPONED IT,HE CANNOT POSTPONE IT,YOU CAN'T POSTPONE IT,CAN'T POSTPONE IT
Ses03F_impro02_M018,I DON'T KNOW IF I CAN HANDLE YOU GO IN ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU GO ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU GOIN ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU IN ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU'LL GO IN ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU GO INTO ANOTHER YEAR,I DON'T KNOW IF I COULD HANDLE YOU GO IN ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU GO FOR ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU'LL GO ANOTHER YEAR,I DON'T KNOW IF I CAN HANDLE YOU GO IN ANOTHER WEEK
Ses03F_impro02_M019,I DON'T KNOW IF I COULD IF I COULD TAKE IT,I DON'T KNOW IF I CAN IF I COULD TAKE IT,I DON'T KNOW WHAT I COULD IF I COULD TAKE IT,I DON'T KNOW WHETHER I COULD IF I COULD TAKE IT,I DON'T KNOW WHAT IF I COULD IF I COULD TAKE IT,I DON'T KNOW AS I COULD IF I COULD TAKE IT,I DON'T KNOW THAT I COULD IF I COULD TAKE IT,I DON'T KNOW IT IF I COULD IF I COULD TAKE IT,I DON'T KNOW IF I SHOULD IF I COULD TAKE IT,I DON'T KNOW WHICH I COULD IF I COULD TAKE IT
Ses03F_impro02_M020,IT CAN'T BE STRONG A WHOLE YEAR,IT CAN'T BE VERY STRONG A WHOLE YEAR,I CAN'T BE STRONG A WHOLE YEAR,I CAN'T BE VERY STRONG A WHOLE YEAR,IT CAN'T BE TOO STRONG A WHOLE YEAR,IT CAN'T BE BUT STRONG A WHOLE YEAR,IT CAN'T BE TRUE A WHOLE YEAR,IT CAN'T BE THAT STRONG A WHOLE YEAR,IT CAN'T BE SO STRONG A WHOLE YEAR,I CAN'T BE QUITE STRONG A WHOLE YEAR
Ses03F_impro02_M021,ME BAWLING,ME BAWLING UP,ME BAWLING OUT,ME ALL RIGHT,MEET BAWLING,ME BAW,ME BAWLING OFF,ME BAWLING HIM,ME BAWLING AFTER,MEET ALL I HAVE
Ses03F_impro02_M024,IT DOESN'T LOOK VERY GOOD,DOESN'T LOOK VERY GOOD,THAT DOESN'T LOOK VERY GOOD,IT DIDN'T LOOK VERY GOOD,AND DOESN'T LOOK VERY GOOD,DIDN'T LOOK VERY GOOD,HE DOESN'T LOOK VERY GOOD,IT DON'T LOOK VERY GOOD,IT ISN'T VERY GOOD,DON'T LOOK VERY GOOD
Ses03F_impro02_M025,I DON'T WANT THE MONEY I WANT YOU HERE,I DON'T WANT THE MONEY I WANT YOU,I DON'T WANT THE MONEY I WANT IT HERE,I DON'T WANT THE MONEY I WANT YOU THERE,I DON'T WANT THE MONEY I WANT YOU TOO,I DON'T WANT THE MONEY I WANT YOU SIR,I DON'T WANT THE MONEY I WANT YOU NOW,I DON'T WANT THE MONEY I WANT TO HERE,I DON'T WANT THE MONEY BUT I WANT YOU HERE,I DON'T WANT YOUR MONEY I WANT YOU HERE
Ses03F_impro02_M027,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY IS GOING TO BE IN DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY'S GOING TO BE IN DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER THIS FAMILY'S GOING TO BE IN DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY'S GOING ON BEING DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY'S GOING TO BEING DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY'S GOING ON BEING DANGEROUS WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY'S GOING TO BEING DANGEROUS WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER AND THIS FAMILY'S GOT TO BE IN DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE IS GOING TO BE IN DANGER IN THIS FAMILY'S GOING TO BE IN DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY,IF YOUR LIFE'S GOING TO BE IN DANGER AND THIS FAMILY'S GOING TO BE IN DANGER WE DON'T NEED THE JOB WE'LL FIND THE MONEY
Ses03F_impro02_M028,I ALWAYES WAS A TOY AYE HOW HE MUST UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW DID YOU BOTH UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW'S FOLKS UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW'S HIS BOOKS UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW DID YOU SUPPOSE I UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW HE'S BOTH UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW SHE'S BOTH UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW HE'S BOOKS UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW SHE'S BOOKS UNDERSTAND THAT,I ALWAYES WAS A TOY AYE HOW'S HIS FOLKS UNDERSTAND THAT
Ses03F_impro02_M029,HOW SHE IN A FIELD FIRST YEAR IN SCHOOL NO MORE,HOW SHE IN A FIELD FIRST YEAR IN SCHOOL NO MO,HOW SHE IN A FIELD FIRST YEAR IN SCHOOL NO MOLL,HAS SHE IN A FIELD FIRST YEAR IN SCHOOL NO MORE,HOW SHE IN A FIELD FIRST YEAR IN SCOLD NO MO,HOW SHE IS A FIELD FIRST YEAR IN SCHOOL NO MORE,HOW SHE A FIELD FIRST YEAR IN SCHOOL NO MO,HOW SHE IN HER FIELD FIRST YEAR IN SCHOOL NO MORE,HOW SHE IN HER FIELD FIRST YEAR IN SCHOOL NO MO,HOW SHE IN A FIELD FIRST YEAR IN SCHOOL NO MOB
Ses03F_impro02_M031,ALL RIGHT THEN,RIGHT THEN,WELL RIGHT THEN,NOW RIGHT THEN,THE RIGHT THEN,YOU'RE RIGHT THEN,NOT RIGHT THEN,MORE RIGHT THEN,ALL RIGHT THIN,AN ALL RIGHT THEN
Ses03F_impro03_F004,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF ON A SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF ALL A SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF NOT A SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF ALL THE SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFFING ON A SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF I'M A SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF ON A SUNDAY I LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WHEN WE'RE ALL CLAPPING AND STUFF ON A SUNDAY LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF ALL THE SUNDAY I LOOK OVER AND,AT THE END OF THE PERFORMANCE YOU KNOW WE'RE ALL CLAPPING AND STUFF ALL A SUNDAY I LOOK OVER AND
Ses03F_impro03_F005,JUST GONE AND WHERE DID HE GO YOU KNOW,JOE'S GONE AND WHERE DID HE GO YOU KNOW,JUST GONE AND WHERE DID HE GO YE KNOW,JOE'S GONE AND WHERE DID HE GO YE KNOW,HE'S GONE AND WHERE DID HE GO YOU KNOW,JUST GONE AND WHERE DID HE GO,JONES GONE AND WHERE DID HE GO YOU KNOW,JOS GONE AND WHERE DID HE GO YOU KNOW,SHE'S GONE AND WHERE DID HE GO YOU KNOW,HE'S GONE AND WHERE DID HE GO YE KNOW
Ses03F_impro03_F006,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE STUDY THAT I SURELY GOT IT AND SEEING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE CITY THAT I SURELY GOT IT AND SEEING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE STUDY THAT I SURELY GOT IT I'M SITTING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE CITY THAT I SAW I GOT IT AND SEEING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE CITY THAT I SURELY GOT IT I'M SITTING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE CITY THAT I SURELY GOT IT I'M SEEING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE STUDY THAT I SURELY GOT IT I'M SEEING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE CITY THAT I SURELY GOT IT I'M SINGING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE STUDY THAT I SURELY GOT IT I'M SINGING THERE AND,AND I LIKE I'LL KEEP ON TO THE BATH BUT HE DIDN'T TELL ME AND HE'S GOT THE NOTICE AND LEAVING IT ALL AT THE CITY THAT I SURELY GOT IT I'M SAYING THERE AND
Ses03F_impro03_F007,HE COMES UP ON STAGE AND THE ENTIRE CATHOLIC EVERY ONE DISLIKED,HE COMES UP ON STAGE AND THE ENTIRE CATHOLIC EVERY ONE DISLIKES,HE COMES UP ON STAGE AND THE ENTIRE CAST LIKE EVERY ONE DISLIKED,HE COMES UP ON STAGE AND THE ENTIRE CAST LIKE EVERY ONE DISLIKE,HE COMES UP ON STAGE AND THE ENTIRE CASTLE LIKE EVERY ONE DISLIKE,HE COMES UP ON STAGE AND THE ENTIRE CASTLE LIKE EVERY ONE DISLIKED,HE COMES UP ON STAGE AND THE ENTIRE CAT LIKE EVERY ONE DISLIKE,HE COMES UP ON STAGE AND THE ENTIRE CASTLE LIKE EVERY ONE DISLIKES,HE COMES UP ON STAGE AND THE ENTIRE CAT LIKE EVERY ONE DISLIKES,HE COMES UP ON STAGE AND THE ENTIRE CAT LIKE EVERY ONE DISLIKED
Ses03F_impro03_F008,GOES UP THERE AND THERE WAS CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND I WAS CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND EVERYONE'S CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND EVERYBODY'S CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND THERE'S CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND EVERY ONE'S CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND I WAS CLAPPING HE'S STANDING THERE AND THEY'D PUT A SPOT LIGHT ON HIM,GOES UP THERE AND THERE WAS CLAPPING HE'S STANDING THERE AND THEY'D PUT A SPOT LIGHT ON HIM,GOES UP THERE AND EVERYTHING'S CLAPPING HE'S STANDING THERE AND THEY PUT A SPOT LIGHT ON HIM,GOES UP THERE AND EVERYONE'S CLAPPING HE'S STANDING THERE AND THEY PUT A SPOTLIGHT ON HIM
Ses03F_impro03_F009,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'RE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'VE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW AND WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'RE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW AND WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'VE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOUR MOTHER AND WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'RE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW AND WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THERE'S A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW WHEN IT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'RE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW AND IT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'RE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOU KNOW OR WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'RE A MICROPHONE,AND I'M LIKE FREAKING OUT I'M LIKE WHAT THE HELL'S GOING ON YOUR MOTHER AND WHAT'S GOING ON AND SO HE'S LIKE STANDING THERE AND THEN ALL OF A SUDDEN THEY'VE A MICROPHONE
Ses03F_impro03_F011,HE ASKED ME TO MARRY HIM LIKE I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM WHEN I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I DON'T THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I DON'T THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE ON STAYING I I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE ON STAYING ON YOU I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE UNSAYING I I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE I'M STAYING I I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE I'M STAYING I I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LATE I THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE ON STAYING I I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I DON'T THINK I TRIPPED OR SOMETHING,HE ASKED ME TO MARRY HIM LIKE ON STAYING I I WAS LIKE I COULDN'T HAVE TO WALK UP THERE AND I WAS LIKE I DIDN'T THINK I TRIPPED OR SOMETHING
Ses03F_impro03_F012,YOU ARE SAID YES BUT YOUR AGREEMENT,YOU HAVE SAID YES BUT YOUR AGREEMENT,YES I SAID YES BUT YOUR AGREEMENT,YOU ARE I SAID YES BUT YOUR AGREEMENT,YOU ARE HE SAID YES BUT YOUR AGREEMENT,YOU ARE AND SAID YES BUT YOUR AGREEMENT,YOU ARE I SAID YES BUT YOUR I MEAN,YOU ARE SAID YES BUT YOU ARE I MEAN,YOU ARE HE SAID YES BUT YOUR I MEAN,YES I SAID YES BUT YOU ARE I MEAN
Ses03F_impro03_F013,I DON'T KNOW I JUST THINK TAKE ME TAKE ME BY SURPRISE,I DON'T KNOW WHY JUST THINK TAKE ME TAKE ME BY SURPRISE,I DON'T KNOW WHY I JUST THINK TAKE ME TAKE ME BY SURPRISE,I DON'T KNOW I JUST THINK TAKE ME TO TAKE ME BY SURPRISE,I DON'T KNOW HOW JUST THINK TAKE ME TAKE ME BY SURPRISE,I DON'T KNOW I SHOULD THINK TAKE ME TAKE ME BY SURPRISE,I DON'T KNOW WHY JUST THINK TAKE ME TO TAKE ME BY SURPRISE,I DON'T KNOW HOW I JUST THINK TAKE ME TAKE ME BY SURPRISE,I DON'T KNOW I JUST THINK TAKE ME TAKE ME BY SURPRISE AT,I DON'T KNOW WHY YOU SHOULD TAKE ME TAKE ME BY SURPRISE
Ses03F_impro03_F014,SCORE POINTS,SCORE POINTS FIVE,SCORE POINTS HUNDREDS,HE SCORED POINTS,SCORE POINTS HUNDREDS IN,SCORE POINTS HUNDREDS OF,SCORE POINTS HUNDREDS THEN,SCORE POINTS HUNDREDS AND,SCORE POINTS HUNDREDS OF THEM,HIS SCORE POINTS HE SAID
Ses03F_impro03_F015,OH YES I WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY INSIDE IT'S NO DOUBT LIKE FAMILY MEMBERS,OH YES EVERY WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY INSIDE IT'S NO DOUBT LIKE FAMILY MEMBERS,OH YES I WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY AND I DON'T NO DOUBT LIKE FAMILY MEMBERS,OH YES I WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY AND I DON'T KNOW ABOUT LIKE FAMILY MEMBERS,OH YEAH I WOULDN'T YEAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY INSIDE IT'S NO DOUBT LIKE FAMILY MEMBERS,OH YEAH IT WOULDN'T YEAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY INSIDE IT'S NO DOUBT LIKE FAMILY MEMBERS,OH YES EVERY WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY AND I DON'T NO DOUBT LIKE FAMILY MEMBERS,OH YES EVERY WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY AND I DON'T KNOW ABOUT LIKE FAMILY MEMBERS,OH YES I WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY AND I DIDN'T NO DOUBT LIKE FAMILY MEMBERS,OH YAH I WOULDN'T YAH AND PEOPLE FRIENDS OF OURS WERE NAUGHTY INSIDE IT'S NO DOUBT LIKE FAMILY MEMBERS
Ses03F_impro03_F016,NOW IT WAS GREAT,YET IT WAS GREAT,IT WAS GREAT,NOW IT WAS,NO IT WAS GREAT,AH IT WAS GREAT,THAT IT WAS GREAT,NOW IT IS GREAT,NOT IT WAS GREAT,YES IT WAS GREAT
Ses03F_impro03_F017,IT WAS A A CRIME,IT WAS A A CRY,IT WAS A A CROWN,IT WAS A MAN,IT WAS A SIGN,IT WAS A GREAT CRIME,IT WAS A TIME,IT WAS A A,IT WAS A A MINE,IT WAS A A SHAME
Ses03F_impro03_F018,LIKE A LOSER I CRIED,LIKE ITS LOSER I CRIED,LIKE AN LOSER I CRIED,LIKE THE LOSER I CRIED,LIKE A LOSER I SAID,LIKE A LOSER HE CRIED,LIKE A LOSER I REPLIED,LIKE A RULER I CRIED,LIKE HIS LOSER I CRIED,LIKE A LIVER I CRIED
Ses03F_impro03_F019,AND I SAY IT'S SO WEARY TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAY IT'S SO WICKED TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,I SAY IT'S SO WEARY TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAY IT'S SO QUEER TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAY IT'S SO HORRID TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAY IT'S SO SILLY TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAY IT'S SO WEARY TO THINK OF MARRYING SOMEBODY BECAUSE I FEEL SO YOUNG YOU KNOW,AS I SAY IT'S SO WEARY TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAID IT'S SO WEARY TO THINK OF MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW,AND I SAY IT'S SO WEARY TO THINK MARRYING SOMEBODY AS I FEEL SO YOUNG YOU KNOW
